"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2094","High","116004.436"
"Iran (Islamic Republic of)","2094","Low","57336.81"
"Iran (Islamic Republic of)","2094","Constant fertility","82743.023"
"Iran (Islamic Republic of)","2094","Instant replacement","111467.364"
"Iran (Islamic Republic of)","2094","Zero migration","86715.1"
"Iran (Islamic Republic of)","2094","Constant mortality","67792.299"
"Iran (Islamic Republic of)","2094","No change","67820.067"
"Iran (Islamic Republic of)","2094","Momentum","99219.396"
"Iran (Islamic Republic of)","2094","Instant replacement zero migration","116097.308"
"Iran (Islamic Republic of)","2094","Median PI","82682.609"
"Iran (Islamic Republic of)","2094","Upper 80 PI","98761.592"
"Iran (Islamic Republic of)","2094","Lower 80 PI","68714.014"
"Iran (Islamic Republic of)","2094","Upper 95 PI","109414.478"
"Iran (Islamic Republic of)","2094","Lower 95 PI","61561.953"
"Iran (Islamic Republic of)","2093","Medium","83130.842"
"Iran (Islamic Republic of)","2093","High","115707.601"
"Iran (Islamic Republic of)","2093","Low","58182.531"
"Iran (Islamic Republic of)","2093","Constant fertility","83173.99"
"Iran (Islamic Republic of)","2093","Instant replacement","111341.523"
"Iran (Islamic Republic of)","2093","Zero migration","87108.568"
"Iran (Islamic Republic of)","2093","Constant mortality","68412.837"
"Iran (Islamic Republic of)","2093","No change","68425.886"
"Iran (Islamic Republic of)","2093","Momentum","99298.326"
"Iran (Islamic Republic of)","2093","Instant replacement zero migration","115897.856"
"Iran (Islamic Republic of)","2093","Median PI","83130.842"
"Iran (Islamic Republic of)","2093","Upper 80 PI","98840.665"
"Iran (Islamic Republic of)","2093","Lower 80 PI","69369.288"
"Iran (Islamic Republic of)","2093","Upper 95 PI","109155.604"
"Iran (Islamic Republic of)","2093","Lower 95 PI","62290.04"
"Iran (Islamic Republic of)","2092","Medium","83578.196"
"Iran (Islamic Republic of)","2092","High","115417.084"
"Iran (Islamic Republic of)","2092","Low","59028.079"
"Iran (Islamic Republic of)","2092","Constant fertility","83605.238"
"Iran (Islamic Republic of)","2092","Instant replacement","111216.084"
"Iran (Islamic Republic of)","2092","Zero migration","87500.923"
"Iran (Islamic Republic of)","2092","Constant mortality","69027.731"
"Iran (Islamic Republic of)","2092","No change","69027.05"
"Iran (Islamic Republic of)","2092","Momentum","99367.362"
"Iran (Islamic Republic of)","2092","Instant replacement zero migration","115698.989"
"Iran (Islamic Republic of)","2092","Median PI","83578.196"
"Iran (Islamic Republic of)","2092","Upper 80 PI","98939.444"
